"Story","Title","Result","Date","Stability","Duration (s)"
"Compra de productos en SwagLabs","Comprar un artículo exitosamente","SUCCESS","2025-06-26T18:59:28.9135043-05:00[America/Bogota]","0.0","29.5"
"Compra de productos en SwagLabs","Eliminar un artículo del carrito de compra","SUCCESS","2025-06-26T18:59:59.7686603-05:00[America/Bogota]","0.0","10.88"
"Compra de productos en SwagLabs","Comprar cuatro artículos exitosamente","SUCCESS","2025-06-26T19:00:12.7936953-05:00[America/Bogota]","0.0","11.17"
