"Story","Title","Result","Date","Stability","Duration (s)"
"Compra de productos en SwagLabs","Eliminar un artículo del carrito de compra","SUCCESS","2025-05-25T15:58:49.4443796-05:00[America/Bogota]","0.0","14.85"
"Compra de productos en SwagLabs","Comprar cuatro artículos exitosamente","SUCCESS","2025-05-25T15:59:06.7654541-05:00[America/Bogota]","0.0","17.45"
